YEAR,APPRAISED IMPROVEMENTS,APPRAISED LAND,APPRAISED TOTAL,ASSESSED IMPROVEMENTS,ASSESSED LAND, ASSESSED TOTAL,ADDRESS,URL,SALE DATE,SALE PRICE,MODEL,STYLE,LIVING AREA,LAND AREA(SF),NBHD,STORIES,ROOMS,BEDROOMS,BATHS,HALF BATHS
2017,$321500,$324600,$646100,$321500,$324600,$646100,29 COTTAGE LN,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=2869,07/28/2011,$480000.00,Residential,Old Style,1588,5830,28,2,6,3 Bedrooms,1,1
2016,$288400,$324600,$613000,$288400,$324600,$613000,29 COTTAGE LN,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=2869,07/28/2011,$480000.00,Residential,Old Style,1588,5830,28,2,6,3 Bedrooms,1,1
2018,$364900,$457500,$822400,$364900,$457500,$822400,66 BELKNAP ST,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=2897,07/10/2013,$761000.00,Residential,Century(FRV),1991,5400,24,2 1/2 Stories,7 Rooms,4 Bedrooms,2,1
2017,$355200,$419600,$774800,$355200,$419600,$774800,66 BELKNAP ST,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=2897,07/10/2013,$761000.00,Residential,Century(FRV),1991,5400,24,2 1/2 Stories,7 Rooms,4 Bedrooms,2,1
2016,$350100,$419600,$769700,$350100,$419600,$769700,66 BELKNAP ST,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=2897,07/10/2013,$761000.00,Residential,Century(FRV),1991,5400,24,2 1/2 Stories,7 Rooms,4 Bedrooms,2,1
2018,$251100,$368200,$619300,$251100,$368200,$619300,64 BEDFORD ST,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3141,07/12/2017,$689000.00,Residential,Old Style,1734,11307,28,2 Stories,,3 Bedrooms,1,0
2017,$256900,$350700,$607600,$256900,$350700,$607600,64 BEDFORD ST,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3141,07/12/2017,$689000.00,Residential,Old Style,1734,11307,28,2 Stories,,3 Bedrooms,1,0
2016,$230900,$350700,$581600,$230900,$350700,$581600,64 BEDFORD ST,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3141,07/12/2017,$689000.00,Residential,Old Style,1734,11307,28,2 Stories,,3 Bedrooms,1,0
2018,$251100,$368200,$619300,$251100,$368200,$619300,64 BEDFORD ST,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3141,06/09/2016,$580000.00,Residential,Old Style,1734,11307,28,2 Stories,,3 Bedrooms,1,0
2017,$256900,$350700,$607600,$256900,$350700,$607600,64 BEDFORD ST,http://gis.vgsi.com/ConcordMA/Parcel.aspx?pid=3141,06/09/2016,$580000.00,Residential,Old Style,1734,11307,28,2 Stories,,3 Bedrooms,1,0
